"obs_nmd_rmse","obs_nmd_cor","obs_nmd_bias","obs_nmd_pcna","obs_nmd_slp","obs_nbc_rmse","obs_nbc_cor","obs_nbc_bias","obs_nbc_pcna","obs_nbc_slp","obs_hmd_rmse","obs_hmd_cor","obs_hmd_bias","obs_hmd_pcna","obs_hmd_slp","obs_hbc_rmse","obs_hbc_cor","obs_hbc_bias","obs_hbc_pcna","obs_hbc_slp","reg","best_method"
0.0706,0.9996,-0.0372,89.9621,0.0225,0.0706,0.9996,-0.0372,89.9621,0.0233,0.6721,0.9508,-0.0744,89.9621,0.1109,0.6837,0.949,-0.0738,89.9621,0.1161,"PAD","obs_nmd"
0.128,0.9975,-0.0648,54.7348,0.0739,0.128,0.9975,-0.0648,54.7348,0.1061,0.769,0.8791,-0.0264,54.7348,0.1362,0,1,0,54.7348,0.1643,"PAD","obs_nbc"
0.0104,1,-0.0034,59.6591,2.2184,0.0104,1,-0.0034,59.6591,1.4147,11.3486,0.9928,-5.9564,59.6591,3.0296,12.7035,0.9898,-6.7272,59.6591,3.6152,"CAS","obs_nbc"
0.0179,1,-0.0089,81.25,8.1682,0.0179,1,-0.0089,81.25,8.0578,8.2278,0.9962,-1.6247,81.25,9.8362,8.8113,0.9958,-0.7932,81.25,9.0276,"CAS","obs_nbc"
0.0148,1,-0.0063,83.7121,1.9382,0.0148,1,-0.0063,83.7121,2.1288,15.6193,0.9808,-5.3833,83.7121,6.235,12.4939,0.9865,-3.7969,83.7121,5.3525,"CAS","obs_nbc"
0.0253,1,-0.0112,73.8636,1.6022,0.0253,1,-0.0112,73.8636,0.9012,14.2142,0.9492,-5.4167,73.8636,5.3873,13.5509,0.9537,-5.0836,73.8636,4.6452,"CAS","obs_nbc"
0.0037,1,-7e-04,85.6061,14.3788,0.0037,1,-7e-04,85.6061,14.2726,13.7932,0.9884,3.1918,85.6061,11.8115,13.6803,0.9885,2.9557,85.6061,11.9885,"CAS","obs_hmd"
0.0145,1,-0.0064,69.8864,3.8013,0.0145,1,-0.0064,69.8864,4.0094,10.5823,0.9883,-3.3591,69.8864,6.8239,13.9874,0.9805,-4.4808,69.8864,7.6942,"CAS","obs_nmd"
0.0136,1,-0.0046,80.6818,1.1929,0.0136,1,-0.0046,80.6818,1.2158,18.0109,0.9246,-7.4665,80.6818,3.5793,17.8305,0.9261,-7.4324,80.6818,3.6767,"CAS","obs_nmd"
0.0057,1,-9e-04,82.7652,2.1475,0.0057,1,-9e-04,82.7652,2.2171,4.7716,0.995,0.0132,82.7652,2.3565,3.036,0.998,0.0522,82.7652,2.0157,"CAS","obs_nmd"
5e-04,1,0,92.803,0.3882,5e-04,1,0,92.803,0.3893,2.9722,0.9426,-0.1612,92.803,0.4281,3.1005,0.9376,-0.131,92.803,0.324,"CAS","obs_nmd"
0.0059,1,-0.001,69.3182,1.4911,0.0059,1,-0.001,69.3182,2.2865,14.6771,0.9575,-4.6366,69.3182,4.7895,11.6523,0.9758,-3.6486,69.3182,4.1979,"CAS","obs_nbc"
0.0136,1,-0.0069,71.0227,1.1846,0.0136,1,-0.0069,71.0227,1.1846,11.205,0.9567,-2.1958,71.0227,3.1604,11.5868,0.956,-2.6017,71.0227,3.2015,"CAS","obs_nmd"
0.0127,1,-0.0055,71.7803,3.7633,0.0127,1,-0.0055,71.7803,3.7825,9.1661,0.972,-2.0913,71.7803,5.7842,9.3566,0.9708,-2.1565,71.7803,5.7594,"CAS","obs_nmd"
0.005,1,-0.0015,45.8333,0.38,0.005,1,-0.0015,45.8333,-1.1333,0,1,0,45.8333,3.1837,5.6761,0.9971,-1.0039,45.8333,4.6089,"CAS","obs_nmd"
0.0098,1,-0.0042,85.4167,-0.3679,0.0098,1,-0.0042,85.4167,-0.4532,6.1005,0.9961,-0.1158,85.4167,-0.121,5.944,0.9963,-0.7409,85.4167,0.8029,"CAS","obs_nmd"
0.0011,1,-1e-04,85.9848,3.5267,0.0011,1,-1e-04,85.9848,3.5917,5.983,0.9936,-0.8407,85.9848,4.3548,5.8421,0.9939,-1.1388,85.9848,4.7188,"CAS","obs_nmd"
0.0067,1,-0.0027,87.3106,1.6519,0.0067,1,-0.0027,87.3106,1.4617,5.5785,0.996,0.36,87.3106,1.3573,5.2087,0.9963,0.0982,87.3106,1.5666,"CAS","obs_nmd"
0.0164,1,-0.0092,82.9545,4.8776,0.0164,1,-0.0092,82.9545,5.0083,7.1302,0.9931,-1.9965,82.9545,6.502,7.1893,0.993,-1.9938,82.9545,6.612,"CAS","obs_nmd"
0,1,0,35.6061,0.0957,0,1,0,35.6061,0.1951,6.7449,0.9947,0.6122,35.6061,-0.4787,6.8519,0.9944,0.1048,35.6061,1.0318,"CAS","obs_nbc"
0.0084,1,-0.0025,84.6591,1.4901,0.0084,1,-0.0025,84.6591,1.4255,4.7958,0.9828,0.4524,84.6591,1.7144,4.5948,0.9843,0.2907,84.6591,1.5571,"CAS","obs_nbc"
0.0261,1,-0.0119,86.553,2.4811,0.0261,1,-0.0119,86.553,2.9318,7.731,0.9898,-2.8831,86.553,5.272,7.8336,0.9896,-2.9533,86.553,5.584,"CAS","obs_nbc"
0.0086,1,-0.0016,80.8712,1.8075,0.0086,1,-0.0016,80.8712,1.3289,7.0552,0.9635,2.1635,80.8712,0.1103,5.6067,0.972,1.6108,80.8712,0.1256,"CAS","obs_nbc"
0.0132,1,-0.0047,84.2803,2.6292,0.0132,1,-0.0047,84.2803,2.6585,10.0098,0.9725,-3.8246,84.2803,5.1716,8.2443,0.9813,-3.1419,84.2803,4.7248,"CAS","obs_nmd"
0.0172,1,-0.008,85.2273,3.564,0.0172,1,-0.008,85.2273,3.557,10.0005,0.9874,-2.4254,85.2273,4.3244,9.8523,0.9883,-2.55,85.2273,4.5233,"CAS","obs_nmd"
0.0378,1,-0.0243,85.0379,2.753,0.0378,1,-0.0243,85.0379,3.3857,18.7525,0.9702,-7.3165,85.0379,10.9852,18.9962,0.9694,-7.4069,85.0379,10.9499,"CAS","obs_nmd"
0.0042,1,-8e-04,61.553,3.8737,0.0042,1,-8e-04,61.553,0.3683,5.0724,0.9981,0.3717,61.553,-0.2571,4.1109,0.9988,-0.2782,61.553,1.421,"CAS","obs_hmd"
0.0199,1,-0.0112,84.8485,0.6537,0.0199,1,-0.0112,84.8485,0.6348,10.1379,0.9811,-3.1467,84.8485,4.2291,12.6709,0.9726,-4.8289,84.8485,5.6624,"CAS","obs_nmd"
0.018,1,-0.0048,48.4848,1.7088,0.018,1,-0.0048,48.4848,1.7652,8.6159,0.9571,-1.8371,48.4848,3.3459,9.3035,0.9501,-1.9559,48.4848,3.4094,"CAS","obs_nmd"
0.0231,1,-0.0111,81.0606,2.5684,0.0231,1,-0.0111,81.0606,2.5632,11.0135,0.9808,-2.9132,81.0606,5.1903,11.0171,0.9807,-2.8676,81.0606,5.1298,"CAS","obs_nmd"
0.0052,1,-0.001,93.5606,0.0537,0.0052,1,-0.001,93.5606,0.0554,0.825,0.916,0.1463,93.5606,0.0473,0.8131,0.9172,0.1427,93.5606,0.0481,"PAD","obs_nbc"
0.007,1,-0.0018,81.4394,0.2925,0.007,1,-0.0018,81.4394,0.2832,0.8428,0.9705,-0.0157,81.4394,0.2848,1.3149,0.9444,0.2556,81.4394,0.2317,"PAD","obs_nbc"
0.028,0.9999,-0.0153,76.3258,0,0.028,0.9999,-0.0153,76.3258,0.0035,0,1,0,76.3258,0.0098,0.5659,0.9514,-0.0516,76.3258,0.0205,"PAD","obs_nmd"
0.0316,0.9999,-0.0184,67.4242,0.0753,0.0316,0.9999,-0.0184,67.4242,0.0363,1.415,0.7892,-0.1308,67.4242,0.2324,2.4366,0.6842,0.3344,67.4242,0.2331,"PAD","obs_nmd"
0.0118,1,-0.0047,94.3182,0.1125,0.0118,1,-0.0047,94.3182,0.0951,0,1,0,94.3182,0.1128,0,1,0,94.3182,0.0935,"PAD","obs_nbc"
0.015,1,-0.005,83.1439,1.3617,0.015,1,-0.005,83.1439,1.4547,2.1159,0.9914,-0.3549,83.1439,1.6751,2.1158,0.9915,-0.3544,83.1439,1.7,"PAD","obs_nmd"
0.0037,1,-7e-04,87.1212,3.2014,0.0037,1,-7e-04,87.1212,3.21,5.3915,0.9894,0.2596,87.1212,2.821,4.7617,0.9921,0.3044,87.1212,2.7579,"CAS","obs_nbc"
0.0035,1,-3e-04,77.2727,2.2101,0.0035,1,-3e-04,77.2727,2.3392,0,1,0,77.2727,2.2105,13.0877,0.9839,-2.7885,77.2727,3.2792,"CAS","obs_nmd"
0.0315,1,-0.0131,55.6818,0.9256,0.0315,1,-0.0131,55.6818,1.2874,3.0294,0.9946,-0.5447,55.6818,2.3212,3.9464,0.991,-0.8948,55.6818,2.3238,"CAS","obs_nbc"
0.0146,0.9999,-0.0074,88.6364,0,0.0146,0.9999,-0.0074,88.6364,0,0,1,0,88.6364,0.0031,0,1,0,88.6364,0.0046,"PAD","obs_hmd"
0.009,0.9984,-0.0027,67.2348,0,0.009,0.9984,-0.0027,67.2348,0,0.0136,0.9959,2e-04,67.2348,0,0.8678,0.1834,0.0656,67.2348,0,"PAD","obs_nbc"
0.0028,1,-1e-04,77.4621,1.1311,0.0028,1,-1e-04,77.4621,1.1943,1.7403,0.9951,0.0301,77.4621,1.0643,3.1593,0.985,0.2421,77.4621,0.9506,"CAS","obs_hmd"
8e-04,1,-1e-04,52.4621,3.0924,8e-04,1,-1e-04,52.4621,2.1188,1.4598,0.9995,0.1307,52.4621,2.02,5.1899,0.9938,0.8913,52.4621,2.2155,"CAS","obs_nbc"
0.0086,1,-0.0034,78.2197,1.8038,0.0086,1,-0.0034,78.2197,1.8598,3.4367,0.9925,-0.0518,78.2197,1.9213,3.5981,0.9921,0.1562,78.2197,1.888,"CAS","obs_nbc"
0.0064,1,-0.0018,59.2803,4.6498,0.0064,1,-0.0018,59.2803,2.9118,6.9432,0.9934,0.6465,59.2803,3.7519,5.1874,0.996,-0.2991,59.2803,3.9242,"CAS","obs_nbc"
0.0171,1,-0.0065,84.8485,0.7937,0.0171,1,-0.0065,84.8485,0.7596,3.0641,0.9854,0.5975,84.8485,0.4762,1.8084,0.9935,0.2148,84.8485,0.6223,"CAS","obs_nmd"
0.0029,1,-5e-04,77.4621,0.1593,0.0029,1,-5e-04,77.4621,0.2172,12.1182,0.9871,-3.5106,77.4621,2.3847,13.2415,0.987,-4.3118,77.4621,2.4604,"CAS","obs_nbc"
0.005,1,-0.0014,74.4318,1.382,0.005,1,-0.0014,74.4318,1.7928,8.5158,0.989,2.4546,74.4318,-0.2768,8.6276,0.9887,2.5139,74.4318,-0.1641,"CAS","obs_nbc"
0.0126,1,-0.0045,81.8182,0.3133,0.0126,1,-0.0045,81.8182,0.1193,1.7653,0.9131,-0.1833,81.8182,0.4605,2.2614,0.8524,-0.2403,81.8182,0.2308,"PAD","obs_nbc"
0.0174,1,-0.0076,85.6061,0.0553,0.0174,1,-0.0076,85.6061,0.07,0,1,0,85.6061,0.0511,0.4916,0.9679,0.0485,85.6061,0.0274,"PAD","obs_nbc"
0.0011,1,-1e-04,79.9242,0.0146,0.0011,1,-1e-04,79.9242,0,0.1043,0.9411,0.0055,79.9242,0.0137,0.1041,0.9405,0.004,79.9242,6e-04,"PAD","obs_nmd"
0.0112,1,-0.0039,64.3939,0,0.0112,1,-0.0039,64.3939,0,0,1,0,64.3939,0,0.9709,0.9623,0.0488,64.3939,0.0183,"PAD","obs_nmd"
0.0206,1,-0.0104,93.5606,0.0979,0.0206,1,-0.0104,93.5606,0.1,1.9894,0.8538,-0.3889,93.5606,0.2801,1.9894,0.8538,-0.3889,93.5606,0.2791,"PAD","obs_nbc"
6e-04,1,0,57.7652,1.5559,6e-04,1,0,57.7652,1.5214,2.6184,0.9987,0.0944,57.7652,1.3676,2.1418,0.9991,-0.1984,57.7652,2.3282,"CAS","obs_nbc"
0.019,1,-0.0126,44.1288,-1.7743,0.019,1,-0.0126,44.1288,-2.1855,4.4979,0.9968,-0.7521,44.1288,0.4693,6.4374,0.9933,-1.0629,44.1288,1.3371,"CAS","obs_nbc"
0.0083,1,-0.0027,85.9848,-0.1658,0.0083,1,-0.0027,85.9848,-0.1429,1.2748,0.9704,-0.2806,85.9848,0.0208,1.2589,0.9713,-0.2778,85.9848,0.0214,"PAD","obs_nbc"
